,well_site,num_cells,num_cells_with_condensates,num_condensates,avg_condensates_per_cell,avg_condensate_area,avg_condensate_intensity
0,KRD-211028-p6_O01_s3,0,0,0,,,
0,KRD-211028-p6_O01_s4,12,0,0,,,
0,KRD-211028-p6_O01_s5,15,0,0,,,
0,KRD-211028-p6_O01_s6,1,0,0,,,
0,KRD-211028-p6_P01_s1,12,0,0,,,
0,KRD-211028-p6_P01_s2,3,0,0,,,
0,KRD-211028-p6_P01_s3,8,0,0,,,
0,KRD-211028-p6_P01_s4,6,1,1,1.0,0.175,0.018
0,KRD-211028-p6_P01_s5,0,0,0,,,
0,KRD-211028-p6_P01_s6,12,1,1,1.0,0.874,0.027
