,well_site,num_cells,num_cells_with_condensates,num_condensates,avg_condensates_per_cell,avg_condensate_area,avg_condensate_intensity
0,KRD-MOA-OC43-220310-3720-22-1_C01_s3,6,3,30,10.0,2.283,0.051
0,KRD-MOA-OC43-220310-3720-22-1_C01_s4,12,5,46,9.2,2.472,0.063
0,KRD-MOA-OC43-220310-3720-22-1_C01_s5,8,7,52,7.43,2.718,0.045
0,KRD-MOA-OC43-220310-3720-22-1_C01_s6,3,2,23,11.5,2.704,0.046
0,KRD-MOA-OC43-220310-3720-22-1_C02_s1,10,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_C02_s2,14,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_C02_s3,13,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_C02_s4,4,1,1,1.0,0.175,0.026
0,KRD-MOA-OC43-220310-3720-22-1_C02_s5,11,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_C02_s6,2,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_C03_s1,16,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_C03_s2,12,0,0,,,
